"Action","Label","Src","Dest"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p811-840.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p811-840.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p841-870.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p841-870.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p871-900.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p871-900.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p901-930.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p901-930.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p931-960.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p931-960.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p961-990.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p961-990.md"
"moved","song_case_md_wrong","H:\내 드라이브\1.민사\송영곤_기본민법\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p991-992.md","H:\내 드라이브\1.민사\송영곤_사례\교재_추출\송영곤_사례연습2_민사법사례연습2_교재_p991-992.md"
"moved","jeon_md","H:\내 드라이브\1.민사\보관\추출파일\전경운_민법_물총_26_p001-030.md","H:\내 드라이브\1.민사\전경운_민법3\교재_추출\전경운_민법_물총_26_p001-030.md"
"moved","jeon_md","H:\내 드라이브\1.민사\보관\추출파일\전경운_민법_물총_26_p031-060.md","H:\내 드라이브\1.민사\전경운_민법3\교재_추출\전경운_민법_물총_26_p031-060.md"
"moved","jeon_md","H:\내 드라이브\1.민사\보관\추출파일\전경운_민법_물총_26_p061-090.md","H:\내 드라이브\1.민사\전경운_민법3\교재_추출\전경운_민법_물총_26_p061-090.md"
