pdf_path,relative_path,top_category,second_category,bytes,last_write_time,full_pypdf_status,full_pypdf_pages,full_pypdf_error,full_pypdf_elapsed_ms,current_exists,review_status,fitz_ok,fitz_pages,fitz_error,review_note
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_14.pdf,1.민사,기출,2453482,2014-06-26T18:18:48,OK,9,,399,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_15.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_15.pdf,1.민사,기출,217870,2023-04-05T19:08:12,OK,13,,115,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_16.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_16.pdf,1.민사,기출,205516,2023-04-05T20:30:08,OK,11,,150,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_17.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_17.pdf,1.민사,기출,271098,2023-04-06T00:30:50,OK,14,,69,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_18.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_18.pdf,1.민사,기출,243301,2023-04-06T00:59:30,OK,14,,76,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_19.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_19.pdf,1.민사,기출,221225,2023-04-06T17:42:06,OK,12,,79,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_20.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_20.pdf,1.민사,기출,174815,2023-03-27T23:57:42,OK,12,,155,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_21.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_21.pdf,1.민사,기출,228887,2023-04-06T22:00:32,OK,14,,101,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_22.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_기록형_채점기준표_22.pdf,1.민사,기출,219326,2023-04-06T22:47:50,OK,13,,126,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_13.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_13.pdf,1.민사,기출,169972,2023-03-27T00:22:42,OK,6,,6269,True,OK,,,,
H:\내 드라이브\1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_14.pdf,1.민사\기출\변호사시험\기출\민사법_변시모의_1차_사례형_문제_14.pdf,1.민사,기출,184004,2023-04-05T18:37:14,OK,9,,94,True,OK,,,,
